video,camera,date,common_name,species,count,notes,month,sample_month,sample,individual,behaviour,water_interaction
9th Feb pm (6).MP4,CROP05,09/02/2024 21:59,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
9th Feb pm.MP4,CROP05,09/02/2024 23:06,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
9th Feb pm (1).MP4,CROP07,09/02/2024 23:21,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP07_Feb,CROP_0207,adult,EX,Y
9th Feb pm (2).MP4,CROP05,10/02/2024 00:31,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
9th Feb pm (7).MP4,CROP05,10/02/2024 00:43,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
10th Feb am.MP4,CROP06,10/02/2024 01:41,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EX,Y
10th Feb am (1).MP4,CROP07,10/02/2024 03:08,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP07_Feb,CROP_0207,adult,EX,Y
10th Feb am.MP4,CROP05,10/02/2024 03:32,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
10th Feb am scent marking.MP4,CROP05,10/02/2024 03:32,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
10th Feb am (2).MP4,CROP06,10/02/2024 03:42,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EW,Y
10th Feb am (2).MP4,CROP07,10/02/2024 03:45,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP07_Feb,CROP_0207,adult,SW,Y
10th Feb am (2).MP4,CROP05,10/02/2024 05:48,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
10th Feb pm (1).MP4,CROP07,10/02/2024 20:20,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP07_Feb,CROP_0207,adult,SW,Y
10th Feb pm.MP4,CROP06,10/02/2024 21:27,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EX,Y
10th Feb pm.MP4,CROP05,10/02/2024 21:37,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
10th Feb pm (2).MP4,CROP07,10/02/2024 22:24,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP07_Feb,CROP_0207,adult,EX,Y
10th Feb pm (2).MP4,CROP05,10/02/2024 22:33,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
10th Feb pm (2).MP4,CROP06,10/02/2024 22:39,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,"EX, EP",Y
10th Feb pm (3).MP4,CROP05,10/02/2024 23:59,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
10th Feb pm (3).MP4,CROP06,11/02/2024 00:04,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,"EX, EP",Y
11th Feb am.MP4,CROP05,11/02/2024 01:58,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
11th Feb am (2).MP4,CROP05,11/02/2024 01:59,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
11th Feb am.MP4,CROP06,11/02/2024 02:07,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EX,Y
11th Feb am.MP4,CROP04,11/02/2024 05:11,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP04_Feb,CROP_0204,adult,EW,Y
02110012.MP4,CROP03,11/02/2024 09:27,Mallard,Anas_platyrhynchos,1,,Feb,CROP03_Feb,CROP_0203,,,
11th Feb pm.MP4,CROP07,11/02/2024 21:41,Beaver,Castor_fiber,2,Adding an hour to FE cameras,Feb,CROP07_Feb,CROP_0207,adult,SW,Y
11th Feb pm.MP4,CROP07,11/02/2024 21:41,Beaver,Castor_fiber,2,Adding an hour to FE cameras,Feb,CROP07_Feb,CROP_0207,kit,SW,Y
11th Feb pm.MP4,CROP06,11/02/2024 23:19,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EX,Y
11th Feb pm (2).MP4,CROP06,12/02/2024 00:39,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,kit,"EX, EP",Y
12th Feb am.MP4,CROP07,12/02/2024 01:02,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP07_Feb,CROP_0207,adult,FO,Y
12th Feb am.MP4,CROP06,12/02/2024 01:19,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EX,Y
12th Feb am.MP4,CROP05,12/02/2024 03:48,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
12th Feb am otter (2).MP4,CROP04,12/02/2024 05:02,Otter,Lutra_lutra,1,Adding an hour to FE cameras,Feb,CROP04_Feb,CROP_0204,adult,EX,Y
12th Feb am otter.MP4,CROP04,12/02/2024 05:02,Otter,Lutra_lutra,1,Adding an hour to FE cameras,Feb,CROP04_Feb,CROP_0204,adult,EX,Y
12th Feb am (2).MP4,CROP05,12/02/2024 05:35,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
12th Feb am.MP4,CROP04,12/02/2024 06:30,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP04_Feb,CROP_0204,adult,EW,Y
02120013.MP4,CROP08,12/02/2024 19:39,Mallard,Anas_platyrhynchos,2,,Apr,CROP08_Apr,CROP_0408,,,
12th Feb pm.MP4,CROP06,12/02/2024 20:54,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,kit,EX,Y
12th Feb pm.MP4,CROP05,12/02/2024 21:28,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
13th Feb am.MP4,CROP06,13/02/2024 02:05,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EX,Y
02130014.MP4,CROP08,13/02/2024 05:23,Mallard,Anas_platyrhynchos,2,,Apr,CROP08_Apr,CROP_0408,,,
13th Feb pm 2 otters.MP4,CROP04,13/02/2024 20:49,Otter,Lutra_lutra,2,Adding an hour to FE cameras,Feb,CROP04_Feb,CROP_0204,juvenile,EW,Y
13th Feb pm 2 otters.MP4,CROP04,13/02/2024 20:49,Otter,Lutra_lutra,2,Adding an hour to FE cameras,Feb,CROP04_Feb,CROP_0204,juvenile,EW,Y
13th Feb pm.MP4,CROP06,13/02/2024 20:49,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EX,Y
13th Feb pm mink.MP4,CROP04,13/02/2024 20:55,Otter,Lutra_lutra,1,Adding an hour to FE cameras,Feb,CROP04_Feb,CROP_0204,adult,EX,Y
14th Feb am (1).MP4,CROP05,14/02/2024 01:54,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP05_Feb,CROP_0205,adult,EW,Y
02140015.MP4,CROP03,14/02/2024 04:10,Brown rat,Rattus_norvegicus,1,,Feb,CROP03_Feb,CROP_0203,,,
14th Feb am.MP4,CROP06,14/02/2024 04:17,Beaver,Castor_fiber,1,Adding an hour to FE cameras,Feb,CROP06_Feb,CROP_0206,adult,EX,Y
02140016.MP4,CROP03,14/02/2024 05:53,Brown rat,Rattus_norvegicus,1,,Feb,CROP03_Feb,CROP_0203,,,
02140001.MP4,CROP09,14/02/2024 21:39,Beaver,Castor_fiber,1,,Mar,CROP09_Mar,CROP_0309,adult,FO,Y
02140002.MP4,CROP09,14/02/2024 21:41,Beaver,Castor_fiber,1,,Mar,CROP09_Mar,CROP_0309,adult,BU,Y
14th Feb pm otter.MP4,CROP04,14/02/2024 22:21,Otter,Lutra_lutra,1,,Mar,CROP04_Mar,CROP_0304,adult,EX,Y
14th Feb pm.MP4,CROP06,14/02/2024 22:51,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,EX,Y
14th Feb pm.MP4,CROP05,14/02/2024 23:25,Beaver,Castor_fiber,1,,Mar,CROP05_Mar,CROP_0305,adult,EW,Y
15th Feb am.MP4,CROP06,15/02/2024 00:10,Beaver,Castor_fiber,1,,Mar,CROP06_Mar,CROP_0306,adult,"EX, EP",Y
15th Feb am.MP4,CROP05,15/02/2024 00:22,Beaver,Castor_fiber,1,,Mar,CROP05_Mar,CROP_0305,adult,EW,Y
15th Feb am.MP4,CROP04,15/02/2024 01:17,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
15th Feb am (2).MP4,CROP04,15/02/2024 02:09,Beaver,Castor_fiber,1,,Mar,CROP04_Mar,CROP_0304,adult,EW,Y
15th Feb pm.MP4,CROP07,15/02/2024 18:32,Beaver,Castor_fiber,1,,Mar,CROP07_Mar,CROP_0307,adult,SW,Y
02150003.MP4,CROP03,15/02/2024 19:11,Otter,Lutra_lutra,1,,Mar,CROP03_Mar,CROP_0303,adult,HA,Y
