sample,blank
CROP_0709,POS03
CROP_0710,POS03
CROP_0801,POS06
CROP_0802,POS06
CROP_0803,POS06
CROP_0804,POS06
CROP_0805,POS06
CROP_0806,POS06
CROP_0807,POS06
CROP_0808,POS06
CROP_0809,POS06
CROP_0810,POS06
CROP_0811,POS06
CROP_0812,POS06
CROP_0813,POS06
CROP_0814,POS06
CROP_0901,POS08
CROP_0902,POS08
CROP_0903,POS08
CROP_0904,POS08
CROP_0905,POS08
CROP_0906,POS08
CROP_0907,POS08
CROP_0908,POS08
CROP_0909,POS08
CROP_0910,POS08
CROP_1001,POS04
CROP_1002,POS04
CROP_1003,POS04
CROP_1004,POS04
CROP_1005,POS04
CROP_1006,POS04
CROP_1007,POS04
CROP_1008,POS04
CROP_1009,POS04
CROP_1010,POS04
CROP_1101,POS06
CROP_1102,POS06
CROP_1103,POS06
CROP_1104,POS06
CROP_1105,POS06
CROP_1106,POS06
CROP_1107,POS07
CROP_1108,POS07
CROP_1109,POS07
CROP_1110,POS07
CROP_1111,POS07
CROP_1112,POS07
CROP_1113,POS07
CROP_1114,POS07
CROP_1201,POS04
CROP_1202,POS04
CROP_1203,POS04
CROP_1204,POS04
CROP_1205,POS10
CROP_1206,POS10
CROP_1207,POS04
CROP_1208,POS04
CROP_1209,POS04
CROP_1210,POS04
CROP_1301,POS07
CROP_1302,POS07
CROP_1303,POS07
CROP_1304,POS07
CROP_1305,POS07
CROP_1306,POS07
CROP_1307,POS07
CROP_1308,POS07
CROP_1309,POS07
CROP_1310,POS07
