"","CROP_0101","CROP_0102","CROP_0103","CROP_0104","CROP_0105","CROP_0106","CROP_0107","CROP_0108","CROP_0109","CROP_0110","CROP_0201","CROP_0202","CROP_0203","CROP_0204","CROP_0205","CROP_0206","CROP_0207","CROP_0208","CROP_0209","CROP_0210","CROP_0211","CROP_0212","CROP_0213","CROP_0214","CROP_0301","CROP_0302","CROP_0303","CROP_0304","CROP_0305","CROP_0306","CROP_0307","CROP_0308","CROP_0309","CROP_0310","CROP_0401","CROP_0402","CROP_0403","CROP_0404","CROP_0405","CROP_0406","CROP_0407","CROP_0408","CROP_0409","CROP_0410","CROP_0501","CROP_0502","CROP_0503","CROP_0504","CROP_0505","CROP_0506","CROP_0507","CROP_0508","CROP_0509","CROP_0510","CROP_0511","CROP_0512","CROP_0514","CROP_0601","CROP_0602","CROP_0603","CROP_0604","CROP_0605","CROP_0606","CROP_0607","CROP_0608","CROP_0609","CROP_0610","CROP_0701","CROP_0702","CROP_0703","CROP_0704","CROP_0705","CROP_0706","CROP_0707","CROP_0708","CROP_0709","CROP_0710","CROP_0801","CROP_0802","CROP_0803","CROP_0804","CROP_0805","CROP_0806","CROP_0807","CROP_0808","CROP_0809","CROP_0810","CROP_0811","CROP_0812","CROP_0813","CROP_0814","CROP_0901","CROP_0902","CROP_0903","CROP_0904","CROP_0905","CROP_0906","CROP_0907","CROP_0908","CROP_0909","CROP_0910","CROP_1001","CROP_1002","CROP_1003","CROP_1004","CROP_1005","CROP_1006","CROP_1007","CROP_1008","CROP_1009","CROP_1010","CROP_1101","CROP_1102","CROP_1103","CROP_1104","CROP_1105","CROP_1106","CROP_1107","CROP_1108","CROP_1109","CROP_1110","CROP_1111","CROP_1112","CROP_1113","CROP_1114","CROP_1201","CROP_1202","CROP_1203","CROP_1204","CROP_1205","CROP_1206","CROP_1207","CROP_1208","CROP_1209","CROP_1210","CROP_1301","CROP_1302","CROP_1303","CROP_1304","CROP_1305","CROP_1306","CROP_1307","CROP_1308","CROP_1309","CROP_1310","NEG09","NEG11","POS09","POS11","taxonomy"
"Anas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Columba",0,28,0,0,38,0,0,0,0,177,288,49,0,0,0,0,97,143,172,92,0,149,138,153,121,0,0,189,127,112,0,235,254,0,820,723,0,601,0,340,258,0,0,0,786,1449,0,146,114,71,0,0,0,0,0,473,3154,0,250,162,348,0,494,781,468,146,0,197,152,0,203,0,0,0,121,741,627,151,0,0,0,668,1178,1237,164,206,970,355,3290,3787,7897,0,325,0,311,0,224,0,0,0,0,559,702,0,134,332,160,388,0,316,0,0,0,0,0,277,119,406,265,0,311,0,626,1482,11236,0,0,353,0,710,0,172,224,0,240,251,1132,0,603,1302,538,0,0,0,269,0,0,0,0,NA
"Fringilla",0,0,0,33,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,211,474,125,0,0,0,0,0,105,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Phylloscopus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,305,0,0,0,0,0,176,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Regulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,74,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Turdus",57,118,0,90,0,0,266,35,0,0,0,137,0,87,0,134,0,32,253,131,0,178,167,145,220,0,0,0,0,0,0,0,0,123,0,81,0,139,0,0,0,137,0,0,518,828,0,0,127,181,0,212,0,62,48,329,0,0,316,0,383,0,0,0,179,95,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,97,0,241,0,0,0,0,0,0,0,0,0,0,98,267,202,0,0,0,235,514,1014,625,158,616,427,0,0,0,637,0,934,1698,3144,323,174,147,198,182,1568,0,275,311,298,604,0,148,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Apodemus",0,0,0,0,0,31,0,0,0,0,49,0,0,0,0,126,0,35,0,0,0,85,70,525,0,94,0,378,148,58,0,0,0,64,0,63,0,77,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,154,0,206,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,104,0,0,0,0,0,0,0,0,381,825,0,109,105,281,406,131,227,327,0,165,169,266,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,106,0,180,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Anatidae",189,205,217,149,575,324,324,240,833,990,988,418,95,349,1274,1258,921,539,1101,661,1865,1723,960,383,899,967,2754,1440,2243,541,458,677,1259,884,2201,1848,124,262,1612,571,606,0,603,80,1412,0,150,479,334,200,307,1092,303,423,148,1077,272,486,673,0,698,1050,75,496,0,212,114,0,0,1868,190,608,926,659,531,1113,428,1013,749,2141,2396,466,1333,794,190,665,3305,0,517,490,0,0,127,1540,0,2721,1375,961,1594,159,579,5708,5004,5343,2628,4207,3837,3947,4850,2099,3596,6559,3768,8376,11714,5969,8113,9548,8308,4313,3996,6977,4147,5433,1990,5816,5731,6033,5140,14163,21267,4565,5708,10636,6859,5393,3968,269,3374,563,480,271,308,238,0,0,0,0,0,NA
"Phasianidae",170,185,0,0,0,56,0,0,0,46,0,0,0,0,0,0,122,82,173,0,0,148,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,149,0,0,0,329,0,0,0,573,342,83,1114,241,523,1369,1283,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Corvidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,1802,0,0,0,0,267,0,0,0,0,1468,0,0,0,0,0,462,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Fringillidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,NA
"Passeriformes",0,0,0,141,117,0,0,0,45,0,0,0,0,42,0,0,0,0,0,0,0,0,37,0,0,605,0,0,0,0,0,57,0,0,0,364,0,120,361,0,0,0,0,0,0,0,0,68,0,0,67,0,0,0,0,0,0,213,0,0,0,216,0,0,0,77,131,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,175,152,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,NA
